翱紫,啗,陴濠,罹濠
2013.1/2,300.7,185.9,114.8
2013.2/2,304.6,190.7,113.9
2014.1/2,313.3,195.2,118.1
2014.2/2,316.2,193,123.2
2015.1/2,322.9,197.8,125.1
2015.2/2,319.9,199.1,120.8
2016.1/2,326.5,201.1,125.4
2016.2/2,330,207.1,122.9
2017.1/2,344.7,212.4,132.3
2017.2/2,356,216.6,139.4
2018.1/2,357.5,220.1,137.4
2018.2/2,374,228.7,145.3
2019.1/2,384.3,231.4,153
2019.2/2,384.7,230.8,153.9
2020.1/2,386.1,231.6,154.5
2020.2/2,389.7,232.5,157.1
2021.1/2,380.5,231.4,149.1
2021.2/2,387.1,234.6,152.5
2022.1/2,385.4,233.2,152.2
2022.2/2,394.1,234.5,159.7
